name	start	end
scaffold79	1	9663177
scaffold134	1	4672454
scaffold8	1	31866355
scaffold131	1	4918615
scaffold124	1	5295952
scaffold207	1	1929094
scaffold6	1	40277251
scaffold64	1	12803319
scaffold18	1	22407316
scaffold5	1	41693076
scaffold214	1	1645576
scaffold133	1	4816047
scaffold102	1	6982734
scaffold139	1	4440729
scaffold3	1	53244476
scaffold35	1	18482212
scaffold193	1	2387313
scaffold128	1	5078987
scaffold217	1	1594120
scaffold33	1	18642241
scaffold16	1	23054638
scaffold103	1	6971902
scaffold146	1	4156655
scaffold165	1	3288323
scaffold27	1	19727151
scaffold150	1	3898338
scaffold116	1	5597997
scaffold41	1	16823045
scaffold73	1	10683268
scaffold25	1	20270731
scaffold174	1	2952444
scaffold58	1	13346048
scaffold30	1	19047857
scaffold10	1	29663373
scaffold176	1	2915887
scaffold136	1	4614128
scaffold66	1	12483386
scaffold149	1	3994588
scaffold46	1	15940661
scaffold2	1	55877296
scaffold54	1	14173813
scaffold60	1	13122742
scaffold97	1	7483021
scaffold84	1	8522002
scaffold159	1	3547254
scaffold24	1	20586676
scaffold57	1	13742018
scaffold107	1	6386876
scaffold196	1	2291821
scaffold63	1	12846609
scaffold171	1	3078631
scaffold48	1	15825002
scaffold15	1	24260673
scaffold130	1	4947231
scaffold38	1	18037018
scaffold37	1	18322464
scaffold173	1	2975834
scaffold90	1	8163341
scaffold94	1	7798381
scaffold111	1	6016729
scaffold77	1	10252110
scaffold31	1	18745391
scaffold138	1	4565711
scaffold19	1	22400681
scaffold12	1	27299513
scaffold22	1	21346287
scaffold21	1	21916573
scaffold9	1	31278376
scaffold42	1	16813181
scaffold88	1	8324061
scaffold40	1	17027594
scaffold154	1	3658427
scaffold4	1	46051422
scaffold26	1	20131539
scaffold117	1	5573906
scaffold65	1	12518016
scaffold118	1	5532532
scaffold32	1	18647643
scaffold158	1	3578522
scaffold104	1	6800923
scaffold13	1	26706505
scaffold78	1	9723962
scaffold71	1	11125942
scaffold43	1	16471106
scaffold162	1	3337254
scaffold237	1	1064341
scaffold161	1	3372230
scaffold51	1	14983989
scaffold7	1	32902730
scaffold115	1	5608078
scaffold20	1	22125386
scaffold39	1	17875762
scaffold164	1	3291202
scaffold170	1	3171380
scaffold76	1	10355841
scaffold192	1	2430737
scaffold155	1	3639056
scaffold70	1	11245159
scaffold169	1	3187403
scaffold56	1	13752753
scaffold44	1	16152829
scaffold96	1	7501546
scaffold92	1	8081598
scaffold50	1	15485885
scaffold59	1	13249639
scaffold198	1	2279392
scaffold106	1	6523111
scaffold45	1	16089719
scaffold148	1	4013712
scaffold202	1	2031517
scaffold142	1	4300090
scaffold135	1	4650805
scaffold1	1	67462175
scaffold100	1	7247181
scaffold186	1	2578405
scaffold175	1	2943201
scaffold95	1	7666174
scaffold119	1	5521543
scaffold80	1	9356588
scaffold72	1	10875794
scaffold222	1	1495807
scaffold213	1	1672560
scaffold182	1	2658613
scaffold17	1	22613440
scaffold105	1	6717304
scaffold227	1	1317557
scaffold141	1	4364041
scaffold228	1	1315073
scaffold151	1	3892759
scaffold11	1	28682327
scaffold153	1	3815500
scaffold110	1	6039151
scaffold226	1	1336610
scaffold74	1	10574154
scaffold87	1	8333544
scaffold28	1	19493394
scaffold172	1	3040518
scaffold91	1	8123791
scaffold201	1	2055564
scaffold34	1	18620544
scaffold238	1	1051314
